id	filename	md5	size	state
6c32bd8b-f4cc-492f-b3d2-2ece214b1ffe	TCGA-US-A77E-01Z-00-DX1.F3603E3F-9C97-4BDF-B1B4-FA91D2D64634.svs	f7319d1de9f17a4e4a39c33721766b93	1330402997	released
a7a5ed55-0a19-4695-b449-16313eacb198	TCGA-XD-AAUH-01Z-00-DX3.935D958B-B47A-48C0-98AD-F79A49786B7C.svs	5d07fac227844d057ee452431302cb0a	1319120045	released
22c1ff0f-7db9-4b7e-a4af-a0821a985ef0	TCGA-IB-AAUO-01Z-00-DX1.4970613D-F815-4FA1-B8BF-396007495ADA.svs	3099e8de3955b0d354af55eeb801e077	2445575211	released
ba1456dd-82fa-46bf-99e1-39bbbb9bc1a3	TCGA-HZ-7926-01Z-00-DX1.b3bf02d3-bad0-4451-9c39-b0593f19154c.svs	91fe45dbbf753e74ef212cb69b1ee1be	25776223	released
35f24935-df16-4497-b721-d68a5468da4f	TCGA-IB-7891-01Z-00-DX1.724FCDBA-6FD1-4259-BB55-A65B95A74CCF.svs	4d419726cc555f324b71ff62ea2d1ead	2543605733	released
b7adab86-ea9c-411f-86c5-19e597b8eb07	TCGA-3A-A9IC-01Z-00-DX1.C41BADB4-1DC2-41EC-8572-643C9421583F.svs	1bc0c66021297a16b9bda43a134cfed7	630448730	released
dc80e77e-c1cd-47a1-8f70-a0778869b361	TCGA-FB-AAPQ-01Z-00-DX1.4D8B675F-3E8D-4442-A2E3-C2963901D7D3.svs	5b342e3297862705162fa88fee938889	184014613	released
474cbee4-0143-4550-9876-650428ea168b	TCGA-HZ-7919-01Z-00-DX1.c415aa59-6474-47f7-81c3-797e8faa28f0.svs	4937709debef8786fbab5ddb0d2e5911	146028715	released
0d2844ed-f711-4da6-b183-dbd916875b68	TCGA-L1-A7W4-01Z-00-DX6.3FB953FD-6867-4BA0-9FE6-C7DB07003E90.svs	bdfc82728515a6bd3c6d2604f26a151f	885026803	released
86eb5167-0212-4876-97ee-ef3ff6c1eb6e	TCGA-HV-A5A3-01Z-00-DX1.C89FCBF9-9F91-419D-99D2-FFEC1ED525E7.svs	5c4eda44226e4e5716a6979b43dd2a7a	335207577	released
